tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8930040'. Expected 'lv.q        C430, 0x40($a0)', got 'lv.q        0x13, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8940040'. Expected 'lv.q        C500, 0x40($a0)', got 'lv.q        0x14, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8950040'. Expected 'lv.q        C510, 0x40($a0)', got 'lv.q        0x15, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8960040'. Expected 'lv.q        C520, 0x40($a0)', got 'lv.q        0x16, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8970040'. Expected 'lv.q        C530, 0x40($a0)', got 'lv.q        0x17, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8980040'. Expected 'lv.q        C600, 0x40($a0)', got 'lv.q        0x18, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8990040'. Expected 'lv.q        C610, 0x40($a0)', got 'lv.q        0x19, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD89A0040'. Expected 'lv.q        C620, 0x40($a0)', got 'lv.q        0x1A, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD89B0040'. Expected 'lv.q        C630, 0x40($a0)', got 'lv.q        0x1B, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD89C0040'. Expected 'lv.q        C700, 0x40($a0)', got 'lv.q        0x1C, 0x40($a0)'
